_time,TargetUserName,IpAddress,IpPort,status,signature,,,,,
2025-05-05T11:28:49.000+0700,PhuocTC5,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T11:31:42.000+0700,LongNT44,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T11:49:30.000+0700,AnhNQ17,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T12:29:56.000+0700,PhucNH75,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T16:00:24.000+0700,HieuPT35,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-06T08:05:10.000+0700,QuiTv3,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T08:31:46.000+0700,ThienDM,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T08:31:50.000+0700,LongVT27,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T08:33:20.000+0700,PhuongNH4,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T08:50:14.000+0700,ChienNM,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T09:07:30.000+0700,loclpp,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T09:12:53.000+0700,DiemLN,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T09:14:54.000+0700,GiangVT12,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T09:20:30.000+0700,CuongLP3,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T09:35:57.000+0700,DuyTHQ,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T09:38:29.000+0700,DuyTHQ,10.86.216.243,29953,success,An account was successfully logged on,,,,,
2025-05-06T11:23:52.000+0700,PhuocTC5,10.86.216.243,30116,success,An account was successfully logged on,,,,,
2025-05-06T12:10:56.000+0700,ChienND8,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-06T13:16:24.000+0700,KhoaND4,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-06T14:12:48.000+0700,CuongLQ17,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-06T14:22:22.000+0700,HieuPT35,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-06T15:36:06.000+0700,ThaoNT64,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-07T08:16:56.000+0700,ChienNM,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-07T08:25:36.000+0700,PhuongNH4,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-07T08:44:19.000+0700,GiangVT12,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-07T08:47:44.000+0700,HieuNQ34,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-07T09:25:55.000+0700,loclpp,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-07T09:40:32.000+0700,KinhN,10.86.216.243,30158,success,An account was successfully logged on,,,,,
2025-05-07T10:39:41.000+0700,vinhdq38,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T11:35:10.000+0700,CuongLQ17,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T11:41:14.000+0700,oanhvtn,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T11:44:13.000+0700,OanhLTH6,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T12:28:47.000+0700,PhucNH75,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T12:47:43.000+0700,phuchv2,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T13:08:14.000+0700,GiangVT12,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T13:46:11.000+0700,DungNH7,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T13:51:09.000+0700,ThienDM,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T14:02:16.000+0700,DiemLN,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T15:11:41.000+0700,LongNT44,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T15:48:22.000+0700,CuongLP3,10.86.216.243,31237,success,An account was successfully logged on,,,,,
2025-05-07T16:20:28.000+0700,DuyTD20,10.86.216.243,31237,success,An account was successfully logged on,,,,,
